Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,Position
ALO,Aston Martin,39.0,95.97,HARD,6.0,4.0,7.0
ALO,Aston Martin,40.0,95.808,HARD,7.0,4.0,6.0
ALO,Aston Martin,41.0,95.574,HARD,8.0,4.0,6.0
ALO,Aston Martin,42.0,97.292,HARD,9.0,4.0,6.0
ALO,Aston Martin,43.0,96.092,HARD,10.0,4.0,6.0
ALO,Aston Martin,44.0,95.615,HARD,11.0,4.0,6.0
ALO,Aston Martin,45.0,95.636,HARD,12.0,4.0,6.0
ALO,Aston Martin,46.0,95.827,HARD,13.0,4.0,6.0
ALO,Aston Martin,47.0,95.862,HARD,14.0,4.0,6.0
ALO,Aston Martin,48.0,95.861,HARD,15.0,4.0,6.0
ALO,Aston Martin,49.0,95.831,HARD,16.0,4.0,6.0
ALO,Aston Martin,50.0,96.008,HARD,17.0,4.0,6.0
ALO,Aston Martin,51.0,96.069,HARD,18.0,4.0,6.0
ALO,Aston Martin,52.0,95.633,HARD,19.0,4.0,6.0
ALO,Aston Martin,53.0,94.726,HARD,20.0,4.0,6.0
BOT,Kick Sauber,4.0,99.462,SOFT,4.0,2.0,12.0
BOT,Kick Sauber,5.0,98.279,SOFT,5.0,2.0,11.0
BOT,Kick Sauber,8.0,96.706,HARD,2.0,3.0,15.0
BOT,Kick Sauber,9.0,97.406,HARD,3.0,3.0,15.0
BOT,Kick Sauber,10.0,97.451,HARD,4.0,3.0,15.0
BOT,Kick Sauber,11.0,98.432,HARD,5.0,3.0,15.0
BOT,Kick Sauber,12.0,100.691,HARD,6.0,3.0,15.0
BOT,Kick Sauber,13.0,98.282,HARD,7.0,3.0,13.0
BOT,Kick Sauber,14.0,98.717,HARD,8.0,3.0,13.0
BOT,Kick Sauber,15.0,100.42,HARD,9.0,3.0,13.0
BOT,Kick Sauber,16.0,98.633,HARD,10.0,3.0,12.0
BOT,Kick Sauber,17.0,98.718,HARD,11.0,3.0,12.0
BOT,Kick Sauber,18.0,98.83,HARD,12.0,3.0,11.0
BOT,Kick Sauber,19.0,99.632,HARD,13.0,3.0,11.0
BOT,Kick Sauber,20.0,99.113,HARD,14.0,3.0,11.0
BOT,Kick Sauber,21.0,99.457,HARD,15.0,3.0,11.0
BOT,Kick Sauber,24.0,98.126,HARD,2.0,4.0,15.0
BOT,Kick Sauber,25.0,96.608,HARD,3.0,4.0,14.0
BOT,Kick Sauber,26.0,96.858,HARD,4.0,4.0,14.0
BOT,Kick Sauber,27.0,96.622,HARD,5.0,4.0,14.0
BOT,Kick Sauber,28.0,97.472,HARD,6.0,4.0,14.0
BOT,Kick Sauber,29.0,97.712,HARD,7.0,4.0,14.0
BOT,Kick Sauber,30.0,98.253,HARD,8.0,4.0,14.0
BOT,Kick Sauber,31.0,98.058,HARD,9.0,4.0,14.0
BOT,Kick Sauber,32.0,98.748,HARD,10.0,4.0,14.0
BOT,Kick Sauber,33.0,98.722,HARD,11.0,4.0,14.0
BOT,Kick Sauber,34.0,98.003,HARD,12.0,4.0,13.0
BOT,Kick Sauber,35.0,98.007,HARD,13.0,4.0,12.0
BOT,Kick Sauber,36.0,98.257,HARD,14.0,4.0,12.0
BOT,Kick Sauber,37.0,97.602,HARD,15.0,4.0,12.0
BOT,Kick Sauber,38.0,98.0,HARD,16.0,4.0,12.0
BOT,Kick Sauber,39.0,97.232,HARD,17.0,4.0,12.0
BOT,Kick Sauber,40.0,97.858,HARD,18.0,4.0,12.0
BOT,Kick Sauber,41.0,97.312,HARD,19.0,4.0,12.0
BOT,Kick Sauber,42.0,98.001,HARD,20.0,4.0,12.0
BOT,Kick Sauber,43.0,97.444,HARD,21.0,4.0,12.0
BOT,Kick Sauber,44.0,97.507,HARD,22.0,4.0,12.0
BOT,Kick Sauber,45.0,98.734,HARD,23.0,4.0,13.0
BOT,Kick Sauber,46.0,99.966,HARD,24.0,4.0,14.0
BOT,Kick Sauber,47.0,97.9,HARD,25.0,4.0,14.0
BOT,Kick Sauber,48.0,97.206,HARD,26.0,4.0,14.0
BOT,Kick Sauber,49.0,96.944,HARD,27.0,4.0,14.0
BOT,Kick Sauber,50.0,99.195,HARD,28.0,4.0,14.0
BOT,Kick Sauber,51.0,97.156,HARD,29.0,4.0,14.0
BOT,Kick Sauber,52.0,97.727,HARD,30.0,4.0,14.0
GAS,Alpine,4.0,99.925,HARD,3.0,2.0,14.0
GAS,Alpine,5.0,99.473,HARD,4.0,2.0,14.0
GAS,Alpine,6.0,100.257,HARD,5.0,2.0,14.0
GAS,Alpine,7.0,100.248,HARD,6.0,2.0,13.0
GAS,Alpine,8.0,101.363,HARD,7.0,2.0,13.0
GAS,Alpine,9.0,100.78,HARD,8.0,2.0,13.0
GAS,Alpine,10.0,101.117,HARD,9.0,2.0,13.0
GAS,Alpine,11.0,101.628,HARD,10.0,2.0,14.0
GAS,Alpine,12.0,101.107,HARD,11.0,2.0,14.0
GAS,Alpine,13.0,102.475,HARD,12.0,2.0,15.0
GAS,Alpine,14.0,101.773,HARD,13.0,2.0,17.0
GAS,Alpine,15.0,101.38,HARD,14.0,2.0,17.0
GAS,Alpine,18.0,98.374,MEDIUM,2.0,3.0,17.0
GAS,Alpine,19.0,98.599,MEDIUM,3.0,3.0,17.0
GAS,Alpine,20.0,98.741,MEDIUM,4.0,3.0,17.0
GAS,Alpine,21.0,98.415,MEDIUM,5.0,3.0,17.0
GAS,Alpine,22.0,98.382,MEDIUM,6.0,3.0,17.0
GAS,Alpine,23.0,99.816,MEDIUM,7.0,3.0,17.0
GAS,Alpine,24.0,98.781,MEDIUM,8.0,3.0,17.0
GAS,Alpine,25.0,99.034,MEDIUM,9.0,3.0,17.0
GAS,Alpine,26.0,98.958,MEDIUM,10.0,3.0,17.0
GAS,Alpine,27.0,98.902,MEDIUM,11.0,3.0,17.0
GAS,Alpine,28.0,98.873,MEDIUM,12.0,3.0,17.0
GAS,Alpine,29.0,99.052,MEDIUM,13.0,3.0,17.0
GAS,Alpine,30.0,98.894,MEDIUM,14.0,3.0,17.0
GAS,Alpine,31.0,99.45,MEDIUM,15.0,3.0,17.0
GAS,Alpine,34.0,98.671,HARD,2.0,4.0,17.0
GAS,Alpine,35.0,97.656,HARD,3.0,4.0,17.0
GAS,Alpine,36.0,97.283,HARD,4.0,4.0,17.0
GAS,Alpine,37.0,98.426,HARD,5.0,4.0,17.0
GAS,Alpine,38.0,96.756,HARD,6.0,4.0,17.0
GAS,Alpine,39.0,100.223,HARD,7.0,4.0,17.0
GAS,Alpine,40.0,98.072,HARD,8.0,4.0,17.0
GAS,Alpine,41.0,97.477,HARD,9.0,4.0,16.0
GAS,Alpine,42.0,97.014,HARD,10.0,4.0,16.0
GAS,Alpine,43.0,96.799,HARD,11.0,4.0,16.0
GAS,Alpine,44.0,97.201,HARD,12.0,4.0,16.0
GAS,Alpine,45.0,96.942,HARD,13.0,4.0,16.0
GAS,Alpine,46.0,96.997,HARD,14.0,4.0,16.0
GAS,Alpine,47.0,96.759,HARD,15.0,4.0,16.0
GAS,Alpine,48.0,96.642,HARD,16.0,4.0,16.0
GAS,Alpine,49.0,98.65,HARD,17.0,4.0,16.0
GAS,Alpine,50.0,100.961,HARD,18.0,4.0,16.0
GAS,Alpine,51.0,97.721,HARD,19.0,4.0,16.0
GAS,Alpine,52.0,97.505,HARD,20.0,4.0,16.0
HAM,Mercedes,4.0,98.303,HARD,3.0,2.0,8.0
HAM,Mercedes,5.0,98.139,HARD,4.0,2.0,8.0
HAM,Mercedes,6.0,98.19,HARD,5.0,2.0,8.0
HAM,Mercedes,7.0,98.374,HARD,6.0,2.0,8.0
HAM,Mercedes,8.0,98.096,HARD,7.0,2.0,8.0
HAM,Mercedes,9.0,98.533,HARD,8.0,2.0,8.0
HAM,Mercedes,10.0,98.703,HARD,9.0,2.0,8.0
HAM,Mercedes,11.0,99.292,HARD,10.0,2.0,8.0
HAM,Mercedes,12.0,99.202,HARD,11.0,2.0,7.0
HAM,Mercedes,13.0,100.24,HARD,12.0,2.0,7.0
HAM,Mercedes,14.0,99.053,HARD,13.0,2.0,6.0
HAM,Mercedes,15.0,98.915,HARD,14.0,2.0,6.0
HAM,Mercedes,16.0,98.693,HARD,15.0,2.0,4.0
HAM,Mercedes,17.0,100.53,HARD,16.0,2.0,6.0
HAM,Mercedes,18.0,99.304,HARD,17.0,2.0,6.0
HAM,Mercedes,19.0,99.352,HARD,18.0,2.0,7.0
HAM,Mercedes,20.0,98.619,HARD,19.0,2.0,7.0
HAM,Mercedes,21.0,98.642,HARD,20.0,2.0,7.0
HAM,Mercedes,22.0,99.823,HARD,21.0,2.0,8.0
HAM,Mercedes,25.0,95.432,HARD,2.0,3.0,9.0
HAM,Mercedes,26.0,95.447,HARD,3.0,3.0,9.0
HAM,Mercedes,27.0,96.135,HARD,4.0,3.0,9.0
HAM,Mercedes,28.0,96.295,HARD,5.0,3.0,9.0
HAM,Mercedes,29.0,96.746,HARD,6.0,3.0,9.0
HAM,Mercedes,30.0,96.399,HARD,7.0,3.0,9.0
HAM,Mercedes,31.0,96.586,HARD,8.0,3.0,9.0
HAM,Mercedes,32.0,96.601,HARD,9.0,3.0,9.0
HAM,Mercedes,33.0,96.444,HARD,10.0,3.0,8.0
HAM,Mercedes,34.0,96.707,HARD,11.0,3.0,7.0
HAM,Mercedes,35.0,96.514,HARD,12.0,3.0,7.0
HAM,Mercedes,36.0,96.191,HARD,13.0,3.0,7.0
HAM,Mercedes,37.0,96.622,HARD,14.0,3.0,6.0
HAM,Mercedes,38.0,97.458,HARD,15.0,3.0,6.0
HAM,Mercedes,41.0,93.952,MEDIUM,3.0,4.0,9.0
HAM,Mercedes,42.0,94.238,MEDIUM,4.0,4.0,9.0
HAM,Mercedes,43.0,94.082,MEDIUM,5.0,4.0,9.0
HAM,Mercedes,44.0,94.337,MEDIUM,6.0,4.0,9.0
HAM,Mercedes,45.0,94.791,MEDIUM,7.0,4.0,9.0
HAM,Mercedes,46.0,94.798,MEDIUM,8.0,4.0,9.0
HAM,Mercedes,47.0,94.679,MEDIUM,9.0,4.0,9.0
HAM,Mercedes,48.0,94.9,MEDIUM,10.0,4.0,9.0
HAM,Mercedes,49.0,95.047,MEDIUM,11.0,4.0,9.0
HAM,Mercedes,50.0,95.43,MEDIUM,12.0,4.0,9.0
HAM,Mercedes,51.0,95.476,MEDIUM,13.0,4.0,9.0
HAM,Mercedes,52.0,95.235,MEDIUM,14.0,4.0,9.0
HAM,Mercedes,53.0,95.773,MEDIUM,15.0,4.0,9.0
HUL,Haas F1 Team,4.0,100.374,SOFT,4.0,2.0,17.0
HUL,Haas F1 Team,7.0,96.751,HARD,2.0,3.0,18.0
HUL,Haas F1 Team,8.0,97.616,HARD,3.0,3.0,17.0
HUL,Haas F1 Team,9.0,97.898,HARD,4.0,3.0,17.0
HUL,Haas F1 Team,10.0,98.34,HARD,5.0,3.0,17.0
HUL,Haas F1 Team,11.0,98.352,HARD,6.0,3.0,17.0
HUL,Haas F1 Team,12.0,98.847,HARD,7.0,3.0,17.0
HUL,Haas F1 Team,13.0,100.302,HARD,8.0,3.0,16.0
HUL,Haas F1 Team,14.0,98.617,HARD,9.0,3.0,15.0
HUL,Haas F1 Team,15.0,99.624,HARD,10.0,3.0,16.0
HUL,Haas F1 Team,16.0,99.355,HARD,11.0,3.0,16.0
HUL,Haas F1 Team,17.0,99.312,HARD,12.0,3.0,16.0
HUL,Haas F1 Team,18.0,98.476,HARD,13.0,3.0,15.0
HUL,Haas F1 Team,19.0,98.894,HARD,14.0,3.0,15.0
HUL,Haas F1 Team,20.0,99.343,HARD,15.0,3.0,15.0
HUL,Haas F1 Team,21.0,99.78,HARD,16.0,3.0,15.0
HUL,Haas F1 Team,22.0,99.694,HARD,17.0,3.0,13.0
HUL,Haas F1 Team,23.0,98.965,HARD,18.0,3.0,10.0
HUL,Haas F1 Team,24.0,99.261,HARD,19.0,3.0,10.0
HUL,Haas F1 Team,25.0,98.781,HARD,20.0,3.0,10.0
HUL,Haas F1 Team,26.0,99.042,HARD,21.0,3.0,10.0
HUL,Haas F1 Team,27.0,99.256,HARD,22.0,3.0,10.0
HUL,Haas F1 Team,28.0,99.17,HARD,23.0,3.0,10.0
HUL,Haas F1 Team,29.0,99.951,HARD,24.0,3.0,10.0
HUL,Haas F1 Team,30.0,99.183,HARD,25.0,3.0,10.0
HUL,Haas F1 Team,31.0,99.465,HARD,26.0,3.0,10.0
HUL,Haas F1 Team,32.0,100.248,HARD,27.0,3.0,10.0
HUL,Haas F1 Team,35.0,95.937,HARD,2.0,4.0,14.0
HUL,Haas F1 Team,36.0,95.858,HARD,3.0,4.0,14.0
HUL,Haas F1 Team,37.0,95.933,HARD,4.0,4.0,14.0
HUL,Haas F1 Team,38.0,96.13,HARD,5.0,4.0,14.0
HUL,Haas F1 Team,39.0,95.853,HARD,6.0,4.0,14.0
HUL,Haas F1 Team,40.0,95.705,HARD,7.0,4.0,14.0
HUL,Haas F1 Team,41.0,95.947,HARD,8.0,4.0,14.0
HUL,Haas F1 Team,42.0,96.374,HARD,9.0,4.0,14.0
HUL,Haas F1 Team,43.0,96.151,HARD,10.0,4.0,14.0
HUL,Haas F1 Team,44.0,96.769,HARD,11.0,4.0,14.0
HUL,Haas F1 Team,45.0,96.808,HARD,12.0,4.0,14.0
HUL,Haas F1 Team,46.0,98.169,HARD,13.0,4.0,13.0
HUL,Haas F1 Team,47.0,96.827,HARD,14.0,4.0,13.0
HUL,Haas F1 Team,48.0,95.733,HARD,15.0,4.0,12.0
HUL,Haas F1 Team,49.0,96.235,HARD,16.0,4.0,12.0
HUL,Haas F1 Team,50.0,95.718,HARD,17.0,4.0,12.0
HUL,Haas F1 Team,51.0,95.853,HARD,18.0,4.0,12.0
HUL,Haas F1 Team,52.0,95.325,HARD,19.0,4.0,11.0
LEC,Ferrari,4.0,98.268,MEDIUM,3.0,2.0,7.0
LEC,Ferrari,5.0,97.812,MEDIUM,4.0,2.0,7.0
LEC,Ferrari,6.0,98.021,MEDIUM,5.0,2.0,7.0
LEC,Ferrari,7.0,98.187,MEDIUM,6.0,2.0,7.0
LEC,Ferrari,8.0,97.92,MEDIUM,7.0,2.0,7.0
LEC,Ferrari,9.0,98.213,MEDIUM,8.0,2.0,7.0
LEC,Ferrari,10.0,99.034,MEDIUM,9.0,2.0,7.0
LEC,Ferrari,11.0,99.193,MEDIUM,10.0,2.0,7.0
LEC,Ferrari,12.0,98.883,MEDIUM,11.0,2.0,5.0
LEC,Ferrari,13.0,98.479,MEDIUM,12.0,2.0,4.0
LEC,Ferrari,14.0,98.595,MEDIUM,13.0,2.0,4.0
LEC,Ferrari,15.0,98.172,MEDIUM,14.0,2.0,4.0
LEC,Ferrari,16.0,97.876,MEDIUM,15.0,2.0,2.0
LEC,Ferrari,17.0,97.856,MEDIUM,16.0,2.0,1.0
LEC,Ferrari,18.0,97.76,MEDIUM,17.0,2.0,1.0
LEC,Ferrari,19.0,97.523,MEDIUM,18.0,2.0,1.0
LEC,Ferrari,20.0,97.48,MEDIUM,19.0,2.0,1.0
LEC,Ferrari,21.0,98.203,MEDIUM,20.0,2.0,2.0
LEC,Ferrari,22.0,97.744,MEDIUM,21.0,2.0,2.0
LEC,Ferrari,23.0,97.755,MEDIUM,22.0,2.0,2.0
LEC,Ferrari,24.0,98.071,MEDIUM,23.0,2.0,2.0
LEC,Ferrari,25.0,97.918,MEDIUM,24.0,2.0,2.0
LEC,Ferrari,28.0,96.09,HARD,2.0,3.0,6.0
LEC,Ferrari,29.0,96.357,HARD,3.0,3.0,6.0
LEC,Ferrari,30.0,96.225,HARD,4.0,3.0,6.0
LEC,Ferrari,31.0,96.201,HARD,5.0,3.0,6.0
LEC,Ferrari,32.0,96.144,HARD,6.0,3.0,5.0
LEC,Ferrari,33.0,95.878,HARD,7.0,3.0,5.0
LEC,Ferrari,34.0,96.32,HARD,8.0,3.0,3.0
LEC,Ferrari,35.0,96.056,HARD,9.0,3.0,3.0
LEC,Ferrari,36.0,96.681,HARD,10.0,3.0,4.0
LEC,Ferrari,37.0,96.135,HARD,11.0,3.0,3.0
LEC,Ferrari,38.0,96.029,HARD,12.0,3.0,3.0
LEC,Ferrari,39.0,95.693,HARD,13.0,3.0,3.0
LEC,Ferrari,40.0,96.341,HARD,14.0,3.0,3.0
LEC,Ferrari,41.0,95.451,HARD,15.0,3.0,3.0
LEC,Ferrari,42.0,95.797,HARD,16.0,3.0,3.0
LEC,Ferrari,43.0,95.713,HARD,17.0,3.0,3.0
LEC,Ferrari,44.0,95.685,HARD,18.0,3.0,3.0
LEC,Ferrari,45.0,95.739,HARD,19.0,3.0,3.0
LEC,Ferrari,46.0,96.778,HARD,20.0,3.0,4.0
LEC,Ferrari,47.0,95.922,HARD,21.0,3.0,4.0
LEC,Ferrari,48.0,95.502,HARD,22.0,3.0,4.0
LEC,Ferrari,49.0,95.543,HARD,23.0,3.0,4.0
LEC,Ferrari,50.0,95.274,HARD,24.0,3.0,4.0
LEC,Ferrari,51.0,95.199,HARD,25.0,3.0,4.0
LEC,Ferrari,52.0,95.316,HARD,26.0,3.0,4.0
LEC,Ferrari,53.0,95.044,HARD,27.0,3.0,4.0
MAG,Haas F1 Team,4.0,100.103,MEDIUM,3.0,2.0,15.0
MAG,Haas F1 Team,5.0,99.392,MEDIUM,4.0,2.0,15.0
MAG,Haas F1 Team,6.0,100.026,MEDIUM,5.0,2.0,15.0
MAG,Haas F1 Team,7.0,100.357,MEDIUM,6.0,2.0,14.0
MAG,Haas F1 Team,8.0,99.601,MEDIUM,7.0,2.0,12.0
MAG,Haas F1 Team,9.0,100.251,MEDIUM,8.0,2.0,12.0
MAG,Haas F1 Team,10.0,100.177,MEDIUM,9.0,2.0,12.0
MAG,Haas F1 Team,11.0,99.9,MEDIUM,10.0,2.0,12.0
MAG,Haas F1 Team,12.0,100.26,MEDIUM,11.0,2.0,12.0
MAG,Haas F1 Team,13.0,99.267,MEDIUM,12.0,2.0,9.0
MAG,Haas F1 Team,14.0,100.786,MEDIUM,13.0,2.0,10.0
MAG,Haas F1 Team,15.0,99.373,MEDIUM,14.0,2.0,10.0
MAG,Haas F1 Team,16.0,99.814,MEDIUM,15.0,2.0,10.0
MAG,Haas F1 Team,17.0,99.728,MEDIUM,16.0,2.0,10.0
MAG,Haas F1 Team,18.0,99.665,MEDIUM,17.0,2.0,10.0
MAG,Haas F1 Team,19.0,99.538,MEDIUM,18.0,2.0,10.0
MAG,Haas F1 Team,20.0,99.262,MEDIUM,19.0,2.0,10.0
MAG,Haas F1 Team,21.0,99.545,MEDIUM,20.0,2.0,10.0
MAG,Haas F1 Team,24.0,96.654,HARD,2.0,3.0,13.0
MAG,Haas F1 Team,25.0,97.033,HARD,3.0,3.0,13.0
MAG,Haas F1 Team,26.0,97.145,HARD,4.0,3.0,13.0
MAG,Haas F1 Team,27.0,97.395,HARD,5.0,3.0,13.0
MAG,Haas F1 Team,28.0,97.504,HARD,6.0,3.0,13.0
MAG,Haas F1 Team,29.0,97.888,HARD,7.0,3.0,13.0
MAG,Haas F1 Team,30.0,98.014,HARD,8.0,3.0,13.0
MAG,Haas F1 Team,31.0,98.498,HARD,9.0,3.0,13.0
MAG,Haas F1 Team,32.0,98.657,HARD,10.0,3.0,13.0
MAG,Haas F1 Team,33.0,98.58,HARD,11.0,3.0,12.0
MAG,Haas F1 Team,34.0,97.93,HARD,12.0,3.0,12.0
MAG,Haas F1 Team,35.0,98.046,HARD,13.0,3.0,11.0
MAG,Haas F1 Team,36.0,98.078,HARD,14.0,3.0,11.0
MAG,Haas F1 Team,37.0,97.662,HARD,15.0,3.0,11.0
MAG,Haas F1 Team,38.0,97.789,HARD,16.0,3.0,11.0
MAG,Haas F1 Team,39.0,97.553,HARD,17.0,3.0,11.0
MAG,Haas F1 Team,40.0,97.542,HARD,18.0,3.0,11.0
MAG,Haas F1 Team,41.0,97.513,HARD,19.0,3.0,11.0
MAG,Haas F1 Team,42.0,97.968,HARD,20.0,3.0,11.0
MAG,Haas F1 Team,43.0,97.376,HARD,21.0,3.0,11.0
MAG,Haas F1 Team,44.0,97.475,HARD,22.0,3.0,11.0
MAG,Haas F1 Team,45.0,97.674,HARD,23.0,3.0,11.0
MAG,Haas F1 Team,46.0,98.332,HARD,24.0,3.0,12.0
MAG,Haas F1 Team,47.0,98.707,HARD,25.0,3.0,12.0
MAG,Haas F1 Team,48.0,98.319,HARD,26.0,3.0,13.0
MAG,Haas F1 Team,49.0,97.519,HARD,27.0,3.0,13.0
MAG,Haas F1 Team,50.0,97.42,HARD,28.0,3.0,13.0
MAG,Haas F1 Team,51.0,98.878,HARD,29.0,3.0,13.0
MAG,Haas F1 Team,52.0,97.822,HARD,30.0,3.0,13.0
NOR,McLaren,4.0,96.853,MEDIUM,4.0,2.0,3.0
NOR,McLaren,5.0,96.86,MEDIUM,5.0,2.0,3.0
NOR,McLaren,6.0,97.9,MEDIUM,6.0,2.0,3.0
NOR,McLaren,7.0,97.742,MEDIUM,7.0,2.0,3.0
NOR,McLaren,8.0,97.824,MEDIUM,8.0,2.0,3.0
NOR,McLaren,9.0,97.963,MEDIUM,9.0,2.0,3.0
NOR,McLaren,10.0,98.158,MEDIUM,10.0,2.0,3.0
NOR,McLaren,13.0,95.761,HARD,2.0,3.0,8.0
NOR,McLaren,14.0,96.777,HARD,3.0,3.0,7.0
NOR,McLaren,15.0,96.788,HARD,4.0,3.0,7.0
NOR,McLaren,16.0,98.241,HARD,5.0,3.0,5.0
NOR,McLaren,17.0,97.807,HARD,6.0,3.0,4.0
NOR,McLaren,18.0,96.487,HARD,7.0,3.0,3.0
NOR,McLaren,19.0,96.783,HARD,8.0,3.0,3.0
NOR,McLaren,20.0,96.847,HARD,9.0,3.0,3.0
NOR,McLaren,21.0,96.996,HARD,10.0,3.0,3.0
NOR,McLaren,22.0,98.888,HARD,11.0,3.0,4.0
NOR,McLaren,23.0,98.213,HARD,12.0,3.0,4.0
NOR,McLaren,24.0,97.722,HARD,13.0,3.0,4.0
NOR,McLaren,25.0,97.558,HARD,14.0,3.0,4.0
NOR,McLaren,28.0,95.721,HARD,2.0,4.0,7.0
NOR,McLaren,29.0,96.258,HARD,3.0,4.0,7.0
NOR,McLaren,30.0,96.243,HARD,4.0,4.0,7.0
NOR,McLaren,31.0,96.225,HARD,5.0,4.0,7.0
NOR,McLaren,32.0,96.375,HARD,6.0,4.0,7.0
NOR,McLaren,33.0,96.34,HARD,7.0,4.0,6.0
NOR,McLaren,34.0,96.262,HARD,8.0,4.0,4.0
NOR,McLaren,35.0,96.614,HARD,9.0,4.0,5.0
NOR,McLaren,36.0,95.896,HARD,10.0,4.0,5.0
NOR,McLaren,37.0,96.412,HARD,11.0,4.0,4.0
NOR,McLaren,38.0,95.883,HARD,12.0,4.0,4.0
NOR,McLaren,39.0,95.706,HARD,13.0,4.0,4.0
NOR,McLaren,40.0,96.249,HARD,14.0,4.0,4.0
NOR,McLaren,41.0,95.229,HARD,15.0,4.0,4.0
NOR,McLaren,42.0,96.217,HARD,16.0,4.0,4.0
NOR,McLaren,43.0,95.92,HARD,17.0,4.0,4.0
NOR,McLaren,44.0,96.391,HARD,18.0,4.0,5.0
NOR,McLaren,45.0,96.224,HARD,19.0,4.0,5.0
NOR,McLaren,46.0,95.635,HARD,20.0,4.0,5.0
NOR,McLaren,47.0,95.633,HARD,21.0,4.0,5.0
NOR,McLaren,48.0,95.677,HARD,22.0,4.0,5.0
NOR,McLaren,49.0,95.354,HARD,23.0,4.0,5.0
NOR,McLaren,50.0,95.268,HARD,24.0,4.0,5.0
NOR,McLaren,51.0,95.186,HARD,25.0,4.0,5.0
NOR,McLaren,52.0,95.832,HARD,26.0,4.0,5.0
NOR,McLaren,53.0,95.721,HARD,27.0,4.0,5.0
OCO,Alpine,4.0,99.541,HARD,3.0,2.0,11.0
OCO,Alpine,5.0,100.081,HARD,4.0,2.0,12.0
OCO,Alpine,6.0,100.496,HARD,5.0,2.0,13.0
OCO,Alpine,7.0,99.744,HARD,6.0,2.0,12.0
OCO,Alpine,8.0,100.009,HARD,7.0,2.0,11.0
OCO,Alpine,9.0,100.294,HARD,8.0,2.0,11.0
OCO,Alpine,10.0,100.315,HARD,9.0,2.0,11.0
OCO,Alpine,11.0,100.371,HARD,10.0,2.0,11.0
OCO,Alpine,12.0,100.56,HARD,11.0,2.0,11.0
OCO,Alpine,13.0,101.341,HARD,12.0,2.0,10.0
OCO,Alpine,14.0,100.787,HARD,13.0,2.0,11.0
OCO,Alpine,15.0,100.961,HARD,14.0,2.0,12.0
OCO,Alpine,16.0,100.692,HARD,15.0,2.0,13.0
OCO,Alpine,17.0,100.929,HARD,16.0,2.0,15.0
OCO,Alpine,18.0,100.737,HARD,17.0,2.0,16.0
OCO,Alpine,21.0,97.716,HARD,2.0,3.0,16.0
OCO,Alpine,22.0,97.775,HARD,3.0,3.0,16.0
OCO,Alpine,23.0,99.219,HARD,4.0,3.0,13.0
OCO,Alpine,24.0,98.924,HARD,5.0,3.0,14.0
OCO,Alpine,25.0,99.084,HARD,6.0,3.0,15.0
OCO,Alpine,26.0,98.611,HARD,7.0,3.0,15.0
OCO,Alpine,27.0,98.943,HARD,8.0,3.0,16.0
OCO,Alpine,28.0,98.612,HARD,9.0,3.0,16.0
OCO,Alpine,29.0,98.702,HARD,10.0,3.0,16.0
